text,timestamp
"man ruin legacy first one , completely ruined first one amazing idea , amazing acting , amazing ending left",2026-01-18 14:54:37.822489
"first movie made genius storyteller, articulated confidence. stupidity thats another kind confidence.",2026-01-18 14:54:37.822491
"currently 2809 , reason part not like near 25002800 no basis attach prof young prof old not good start part 1 3200 3400 . 3700 bunch teenager go house young started searching like disturbed major flaw part 1",2026-01-18 14:54:37.822493
waiting part 3 2027 !!!! please like comment wanna support wait,2026-01-18 14:54:37.822494
seems movie goal discredit christianity script written lucifer,2026-01-18 14:54:37.822496
honestly disappointing,2026-01-18 14:54:37.822499
"proof humanity not ready hear bible religious book fary tell, create heaven earth but love lied",2026-01-18 14:54:37.822500
"movie crap compared first movie. college kid movie annoying, irresponsible acting terrible. first movie masterpiece. this?",2026-01-18 14:54:37.822502
kid truly crazy.,2026-01-18 14:54:37.822504
waiting part 3 2027,2026-01-18 14:54:37.822506
original thought provoking. pile teenage waistland crap.,2026-01-18 14:54:37.822507
"sorry, but dumbest piece shit ive ever seen.",2026-01-18 14:54:37.822509
"first one much better , one throe everything first one did, mystery, wonder true history john alive 14000 year last decade done know going die, end era come on... screw good plot, sake plot twist.... good tale thrown away, know go back time prequel. cause fucked up...",2026-01-18 14:54:37.822511
masterpiece,2026-01-18 14:54:37.822512
"sequal doesnt deserve part masterpiece,,, first part based idea , knowledge, curiosity, knowing , among knowledgeable people...those cast member know acting ...but seeing bunch college students.. asking stupid questions..and expressionless acting ..i disappointed man ..",2026-01-18 14:54:37.822514
"one stupid sequel, no coment",2026-01-18 14:54:37.822516
feel like im watching porn,2026-01-18 14:54:37.822518
,2026-01-18 14:54:37.822520
,2026-01-18 14:54:37.822521
,2026-01-18 14:54:37.822523
"awful pivot away original. discovered movie 3 hour ago watched back back. supporting character braindead caricature made stupid useless change john character. first movie magical character hyperintelligent unique personalities, offering interesting individualized perspective john. first movie genuinely one greatest thing ive ever seen. feel like written single weekend someone saw original movie, didnt understand it, decade later paid make sequal based memory alone.",2026-01-18 14:54:37.822525
actual hell whole philip part end? actual brain melting writing.,2026-01-18 14:54:37.822527
sidhhartha gautam indian nepal told ? make make sense,2026-01-18 14:54:37.822529
true story .... prophets. saint,2026-01-18 14:54:37.822531
"previously raved man earth possibly best film ever seen. man earth halocene mediocre, best. former philosophical introspective, socalled sequel preachy sophomoric. et cetera...",2026-01-18 14:54:37.822533
hallmark movie atheist,2026-01-18 14:54:37.822534
turn he immortal serial killer? lololol,2026-01-18 14:54:37.822536
empowerment godly people,2026-01-18 14:54:37.822538
,2026-01-18 14:54:37.822540
"im wondering 1st movie , told friend secret. wonder act alone made start age. would explain starting age since time 10 year",2026-01-18 14:54:37.822541
blecchhh!,2026-01-18 14:54:37.822543
didnt high hope sequel first really good good there,2026-01-18 14:54:37.822545
"found nitpicking pretty much start, watched two back back. going im not healing fast. entirely retconned part made first tantalizing. wasnt healing speed, didnt scar. whole student think he hot thing weird feel like anime, descent already questionable student thing first movie. im also confounded student connecting dot blinding pace seemingly disregarding consequence like tresspassing, shouldnt let scotfree. plus course many loose end left without satisfying closure, stark contrast neat bowtie first, still left thing ambiguous. plus course student reading like three book day entirely break semblance suspension disbelief. think there solid idea movie, student figuring thing could make good premise done course semester, though think religion bit laid awfully thick point counterintuitively almost felt preachy. fbi bit end really could half movie satisfying payoff, but instead cheap setup third movie.",2026-01-18 14:54:37.822547
well... definitely full hollow scenes.,2026-01-18 14:54:37.822549
"haha, cant wait 2027",2026-01-18 14:54:37.822550
cop come life im sure million criminal thought.,2026-01-18 14:54:37.822552
"doesnt make sense would leave van go behind? would suck lose gift long lost friend, but thousand year get back, would leave it. would rationalize friend would want not end lab somewhere guinea pig.",2026-01-18 14:54:37.822554
okay cool director. 1st movie gaindd following due mystery way john never truly answered questions. one take many unnecessary plots. but sadly part story. way could see working third movie never happen maybe instead aging start become younger. another commentor said fbi agent could possible immortal john met. could cat mouse game maybe. sequel really delve faster healing well. first one never suggested also suggested learned slow body such. not heal within week stabbed gut.,2026-01-18 14:54:37.822556
wow might worse sequel.,2026-01-18 14:54:37.822558
worf!!!!!l,2026-01-18 14:54:37.822560
"feel nothing like original, lost thing made original good. even script feel poorly written comparison",2026-01-18 14:54:37.822562
blonde college girl fucking fine im not even focused plot john would folded,2026-01-18 14:54:37.822563
"take amazing movie, make complete dogshit sequel. fucking embarrassing",2026-01-18 14:54:37.822565
"simply not good original one. honestly fact first one good heavy lifting making sequel decent. perhaps different writer studio demand behind fails capture original. whatever case clearly missed made first one interesting. focus suppose man. not students. not coworkers past present. not religious aspect. man. single place. without top theatrics. conversation someone wise seeing much yet also humble admit also know little. edit add final scene credit want film. honest, simple conversation open minded people one location. mid credit scene happens stunned tone deaf is. clearly whomever wrote scene particular not get concept people loved first one all. frankly hope third film made scene ignored, erased never brought beyond go opposite direction it.",2026-01-18 14:54:37.822567
10522 lens shot on? bokeh ball shape im not used to.,2026-01-18 14:54:37.822569
lot star trek people movie,2026-01-18 14:54:37.822570
boy john aged,2026-01-18 14:54:37.822572
even whiskey spoils!,2026-01-18 14:54:37.822574
"single compelling part movie me, shadowcovered fbi agent end, questions. could whole movie faceless federal agent recanting exploit via question random witness old new character left wonder john, another immortal. ....in 1983, man matching description killed compound full follower waco, texas, think he capa... ....in 1969, man matching description robbed museum stole old photographs.... ...in 2010, man matching description set fire security camera saving life convenience store clerk. . would that?",2026-01-18 14:54:37.822576
"kept waiting john outwit kid one question, like tom hank green mile stand god. tell him... killed one gifts? thought job?!",2026-01-18 14:54:37.822578
kid pissed much.,2026-01-18 14:54:37.822579
"try, but hard unsee feminization hollywood. two movie after. 1.all woman smart bos babe men bumbling idiots. aside john, not one capable man story. even killer church boy couldnt competently stab devil tied chair. everything favor righteousness, time, motivation, even stationary target messed up, like fool. 2.all woman belowhollywoodlevel attractive men feminine. unlike now, past actress usually exceptionally beautiful unless role call purposely unattractive, like misery. world tia carrera cameron diaz exists, best looking diverse girl could find? churchboy couldnt chiseled jaw, like churchboyfootball player american pie todd breaking bad? john second girlfriend chunky, but first girl artsy, waif professorhollywood archetype. realistic part movie damaged college girl attempted s3xully assault john, thought attractive actually was. ive seen woman build try make not conventionally attractive overtly aggressive. part believable. unbelievable that, rejection, didnt make victimassault story cover mistake. fact, normalized, soon ran away shame tear 90 sure going make false accusation move plot direction. surprised moral backbone override ego. jilted girl, common scenario workplaces, probably schools, too.",2026-01-18 14:54:37.822581
"reading comment think movie potential fantastic sequel. however storyline mr boat, script whack. steven seagal keanu reef xmen type shoot em brain dead action script, something little smart intelligent scifi. following religious storyline think fall flat beat dead donkey first one. first one revelation movie discovery. really could kept revelation going. maybe even made period piece gone back time. yes act look old but youre like beard no problem. many interesting possibility but pander religious nuts. shame. really could got mind character 2 mean lived 14,000 year maybe want die. made mortal suppose gonna kill thats end that. shame.",2026-01-18 14:54:37.822583
loved first one one hard watch,2026-01-18 14:54:37.822585
many people seeing clip first movie watching this?,2026-01-18 14:54:37.822587
5111 hate kids.,2026-01-18 14:54:37.822588
"yup, quick browse comment figured, better keep mystery.",2026-01-18 14:54:37.822590
broo john shoulda smahhhh dat bihhh god nem,2026-01-18 14:54:37.822592
10 year gap movie awsome lol but gonna handle aging. squared 10 year but dont think 10,2026-01-18 14:54:37.822594
much better thought would,2026-01-18 14:54:37.822596
jesus freak always going deep end,2026-01-18 14:54:37.822598
collage student made painful watch,2026-01-18 14:54:37.822600
talmudic propaganda,2026-01-18 14:54:37.822601
"lol better buying motor cycle taking student, glad im not one thought off. got confirmation movie itself. edit oh shit wrote book talkin bout. wonder mention buying motor cycle riding student. reedit havent laughed hard ages, movie master piece rereedit phillip literally shayne topp character crime portion",2026-01-18 14:54:37.822603
"bad director cant seem let good story good ending alone, try extend either abandon fail understand first one good.",2026-01-18 14:54:37.822605
glad kept original cast. not sure jesus character. aged much,2026-01-18 14:54:37.822606
"pig underrated pets, super smart, super friendly actually clean trainable",2026-01-18 14:54:37.822608
kid pretty stupid lol,2026-01-18 14:54:37.822610
single aggravating movie ive seen 10 year spectacularly terrible,2026-01-18 14:54:37.822612
fuck hunk shit? first one great.,2026-01-18 14:54:37.822613
skipping movie much watched like 30 min it. wtf ending. john anvenger now? also he dying saw child die. thats it. ever see one child die. no. foreshadowed end 1.,2026-01-18 14:54:37.822615
look like phil modern family lol,2026-01-18 14:54:37.822617
"movie isnt good first one, but still decent. however, worst trend history cinema college kid joke every single thing happens glad trend pretty much over. no one, history, ever talked like that.",2026-01-18 14:54:37.822619
veteran actor kid seem acting first time life. kid acting literally painful,2026-01-18 14:54:37.822620
5120 begin talking god head say son god literally next word say im not saying he son god cant mistaken signs. relationship god amazingly awesome. love,2026-01-18 14:54:37.822622
cant wait another one 2027.,2026-01-18 14:54:37.822624
"was..... disappointing say least, not expecting sequel all... writing first movie absent",2026-01-18 14:54:37.822626
"well, movie took unexpectedly dark twist.",2026-01-18 14:54:37.822628
"yeah nah, saw first one accident 611 done already",2026-01-18 14:54:37.822629
remember john said met guy like past said would keep touch...he said thought saw but missed him. next part provide closure but ride end worth it!!!,2026-01-18 14:54:37.822631
movie much worse... unlucky,2026-01-18 14:54:37.822633
butcher first one..,2026-01-18 14:54:37.822634
construction dialogue first movie smart. thoughtful answer followed logically derived questions. second movie scenario amateur acting little thought development. hard pass. admitted waste time. nap would valuable.,2026-01-18 14:54:37.822636
"pathetic. man purportedly life 14000 years, yet whole life reduced one middle eastern fairytale not 2000 year old, probably got written middle age anyway. pathetic. whole scope humanity reduced one fiction.",2026-01-18 14:54:37.822638
ad make unwatchable,2026-01-18 14:54:37.822639
po sequel.,2026-01-18 14:54:37.822641
khatra aise hi young aur rafical maa bap se hai fesh ko,2026-01-18 14:54:37.822643
"actually like it. not bad like comment says. worrying young actors, but good characters, auch shame isnt part3 end story line end part2.",2026-01-18 14:54:37.822644
"wish sequel actor david lee smith , tv series. knew movie late. but impossible cause dlsmith would old continue story line here. director lucky actually find actor actually almost didnt age 10years.",2026-01-18 14:54:37.822646
strange ending. seems though better ending would visit harrys dad. not credit scene like something marvel movie.,2026-01-18 14:54:37.822648
"watching first movie, kept engaged entire duration it. even though didnt action, anything besides people room. one however, annoying watch. kid brain capacity squirrels. discussion brainrotted. conclusion stupid. atleast one student shouldve brought scientific approach but non did. not even good acting yo",2026-01-18 14:54:37.822649
garbage acc shat first movie this.,2026-01-18 14:54:37.822651
first one good enough. one bad cinema.,2026-01-18 14:54:37.822653
agree blonde fbi agent end christian kid tried kill ? checked hair line same.,2026-01-18 14:54:37.822655
"hit pause blink watching first one, fast forward second 2x speed",2026-01-18 14:54:37.822656
"people pissy sequel? people whining attitude boomer critizing star war prequels. let nostalgia cloud critical thinking. story change evolve time, experience never replicated again, time is!! chaos change! different story! appreciate stop getting mad want watch thing over. human uncomfortable change want control can, order prevent suffering. still keep spirit theme alive. shame didnt funding keep going make grandiose story implying going be.",2026-01-18 14:54:37.822658
"1 ,2 .. .",2026-01-18 14:54:37.822660
"first movie genius script thought provoking , second pissed first , third highlander mlvie !? j hope not",2026-01-18 14:54:37.822661
"could made way better , movie kinda suck .... big time , dude survived 14 k cook rent girl ? nah sci fi definitely",2026-01-18 14:54:37.822663
2100 cooking girlfriend instead going drink mate beginning end,2026-01-18 14:54:37.822665
13050 look younger guy who supposed live forever,2026-01-18 14:54:37.822667
probably dumbest part 2 ive ever seen....... come guy really? literal gold mine hands.,2026-01-18 14:54:37.822668
brutto film il seguito,2026-01-18 14:54:37.822670
whole fcked masterpiece,2026-01-18 14:54:37.822672
"jiji, still watch. feling bit old guess hehe, hug frae scotland alexander john murray",2026-01-18 14:54:37.822674
"watched man earth holocene back back. first movie masterpiece praise give less, sequel even doesnt reached beauty original felt like story going correct direction showing consequence telling secret other, making connection different life lives. story premise movie extremely rich execution first commendable sequel fell felt face. like philosophical movie one must watch, future sequel, movie but premise get diluted genres. personally, would love see prequel john immortal meet would great, john aspect philosophical nature human instinctive human based end credit",2026-01-18 14:54:37.822675
"trash. bad writing regurgitating previously done concept worse version. 1st one okay ... make masterpiece wasnt, nice concept wrapped bunch drivel saved end son died.",2026-01-18 14:54:37.822677
"best sequel could plot professor oldman meet person mentioned part 1 similar like thousand year old saw train station but lost crowd. imagine discussing sharing length information regarding history, religion, cults, extra terrestrial contact ancient tribes, invention time travel machine nazi time, secret experiment different country not. once, imagine guy played none keanu reaves. end, keanu reaves say per knowledge, total 5 people including even older two somewhere world. story would ended embark journey find remaining 3 people. immature cringe acting kid extent spoilt whole seriousness movie.",2026-01-18 14:54:37.822679
"dog sht desecration jerome bixbys ouevre sequel supposed be. shame successor led memorialize nonsense was. no structure, weird segues, half baked jab introspective question original screenplay raised. please go familiarize legacy work jerome bixby.",2026-01-18 14:54:37.822680
imo man earth spinoff comic book,2026-01-18 14:54:37.822682
pitiful.,2026-01-18 14:54:37.822684
1,2026-01-18 14:54:37.822685
"comment section interesting, say least. not interesting see people mind go back inside box soon subject require take path thanking, exploration questioning, frightened destroy paradise created themselves, risking everything way, sacrificing important quest life get truth.",2026-01-18 14:54:37.822687
"kid terrible people, self righteous religious zealots. always wary someone need supreme creator universe tell decent human being.",2026-01-18 14:54:37.822689
"unbelievable. youve club cab pickup, dont go back regular cab.",2026-01-18 14:54:37.822691
really couldve better. but first one great.,2026-01-18 14:54:37.822692
stupid christian boy going hell wonder believer like whole faith made,2026-01-18 14:54:37.822694
think guy end immortal met but he serial killer im assuming something,2026-01-18 14:54:37.822696
horrible... but watched guess creator got watch time,2026-01-18 14:54:37.822697
"best film hadnt saw, now. great sequence underrated. come 2027",2026-01-18 14:54:37.822699
thr second movie deems like parody sequel 1st part lol needed screentime john not bunch whinng little kid,2026-01-18 14:54:37.822702
n tem legendado???,2026-01-18 14:54:37.822703
whole movie could john tied chair interrogated student would better close first one style,2026-01-18 14:54:37.822705
could cain but forgot,2026-01-18 14:54:37.822707
im willing bet one girl didnt help spread word thing probably coulda convinced talk but said like crapnits happening yet another crusade,2026-01-18 14:54:37.822709
"first movie genius, pure gold, maybe jerome bixby cromagnon century hone writing skill emerson regular human chef dentist.",2026-01-18 14:54:37.822710
"like first movie one best movie ive ever seen, one worst movie ive ever seen. bad writing, bad acting, entirely losing plot first movie, overall backtracking thing made first movie great. movie like shawshank redemption made sequel andy go become murderer escaping sentenced receive death penalty, basically destroying everything built first movie. literally jaw floor dawned movie ended poorly written nonsensical manner. 110",2026-01-18 14:54:37.822712
last stupid but need part three,2026-01-18 14:54:37.822714
would suck live 14k years. imagine witnessing horror mankind. death ultimate reset life.,2026-01-18 14:54:37.822716
let ending.but anything possible eh.,2026-01-18 14:54:37.822718
fck,2026-01-18 14:54:37.822720
"took science fiction concept john character made bullshit straight vod flick. imovie as transitions, worst camera work youve ever seen life. sound design deaf person. camera work blind person. wow!! love movie shitty much tho",2026-01-18 14:54:37.822722
omg comedically bad,2026-01-18 14:54:37.822723
got hyped hearing sequel. 2min completely garbage but thisll good movie watch shit friend,2026-01-18 14:54:37.822725
"first movie 1010, second movie one 210",2026-01-18 14:54:37.822727
look like he going case xfiles now!,2026-01-18 14:54:37.822729
thats thats ends? dumbass sequel,2026-01-18 14:54:37.822730
waste...,2026-01-18 14:54:37.822732
student reenforced dislike teenager young adult,2026-01-18 14:54:37.822734
"11.11.2024 sadly, screenwriter go ending suggests young caucasian christian college student grows become j.edgar hoover gman serial killer rage not finding real jesus christ. waanhwaanh.. original better didnt try solve mystery.",2026-01-18 14:54:37.822735
ruining ? anyway... cant wait watch 3rd part 2027,2026-01-18 14:54:37.822737
dont read comment watch it. pretty good.,2026-01-18 14:54:37.822739
altsimo mierdon,2026-01-18 14:54:37.822741
2027 please.,2026-01-18 14:54:37.822742
"not good original, but worth watch companion piece. made tv series pilot initially, thats bit structured differently. original 9 10 me, 7 but seen original . standalone really isnt , id rate little lower 6.",2026-01-18 14:54:37.822743
id love see third movie,2026-01-18 14:54:37.822745
still looked good age hate still like movie hoping part 3,2026-01-18 14:54:37.822746
men black end other???,2026-01-18 14:54:37.822748
"gusto mucho, e una buena secuela, ojal hagan la tercera",2026-01-18 14:54:37.822749
"first movie, john mentioned someone immortal like him. maybe guy serial killer mentioned part.",2026-01-18 14:54:37.822751
part3????,2026-01-18 14:54:37.822752
nothing like first part,2026-01-18 14:54:37.822754
"reading comments, im not going waste time watching it.",2026-01-18 14:54:37.822755
didnt like ending all. didnt give kind closure anything anyone...,2026-01-18 14:54:37.822756
lol comment likedislikeratio dont match,2026-01-18 14:54:37.822758
gonna leave cliff hanger like,2026-01-18 14:54:37.822759
,2026-01-18 14:54:37.822761
"4556. picked plastic way back mountains.. good message, fit story kind man was.. caring people .. caring earth... made real. kudos writers.",2026-01-18 14:54:37.822762
way ended pissed,2026-01-18 14:54:37.822764
en franais svp,2026-01-18 14:54:37.822765
shame mixed disappointed,2026-01-18 14:54:37.822767
mind blowing sense,2026-01-18 14:54:37.822769
think...the actor mature good actor ! not noobs . spoiled whole mood first part got !,2026-01-18 14:54:37.822770
"fuk, disappointed",2026-01-18 14:54:37.822772
"please dont watch this, not worth expectation. literal waste watching part1",2026-01-18 14:54:37.822773
first movie really good. but b class crap,2026-01-18 14:54:37.822775
become follower good but blind follower bullshit. religion doesnt make blind priest that.,2026-01-18 14:54:37.822776
isbthere third one?,2026-01-18 14:54:37.822777
isnt funny hollywood producing movie advertisement like last 60 years. leave jbirds.,2026-01-18 14:54:37.822779
u notice van gohh last scene john fabricated identy body found 1 year ago doctor,2026-01-18 14:54:37.822780
"first movie entirely shot single room, still hold everyone end, however doesnt even come close that.",2026-01-18 14:54:37.822781
second movie not bad,2026-01-18 14:54:37.822783
"shame, doesnt come close original movie. waste time!! could degrade piece art much original was, putting typical student without logical sense sex heads!!",2026-01-18 14:54:37.822784
"ok, 4 jesus",2026-01-18 14:54:37.822786
"perfect depiction brain damage religion inflicts people, lol.",2026-01-18 14:54:37.822787
first part kept thinking week wen first watched it....such underrated movie true cult masterpiece....,2026-01-18 14:54:37.822789
"please unpublish movie internet , insult part 1",2026-01-18 14:54:37.822790
perdi su esencia no e como la primera parte,2026-01-18 14:54:37.822792
third sequel come 2027.,2026-01-18 14:54:37.822793
excellent thank,2026-01-18 14:54:37.822794
"four student like believer days, care teacher",2026-01-18 14:54:37.822796
"different first one, but not worst movie ive watched. felt like ended way abruptly tho",2026-01-18 14:54:37.822797
wife person left end movie?,2026-01-18 14:54:37.822798
"damn, bad movie",2026-01-18 14:54:37.822800
"see lot people comment talking not good first, but point think well enough everyone agree man earth far greatest film ever seen, holocene pretty good movie.",2026-01-18 14:54:37.822801
"comparando com primeiro, na minha opinio perdeu essncia, simplicidade e papo cabea que tinha no primeiro no existe nessa sequencia. ficou em aberto mais esperado uma sequencia, no teve plot igual primeiro. bem fraco, mais foi bom ver uma continuao, poderia ter uma terceira parte.",2026-01-18 14:54:37.822803
"moment drank whiskey gone bad spell go show nothing last forever.. gosh, line alone killed little depth left teenager segment..",2026-01-18 14:54:37.822804
man wtf ending... like... skip something???,2026-01-18 14:54:37.822806
son said year ago didnt want come back would treated again. great example man stupidity.,2026-01-18 14:54:37.822807
lazy writing,2026-01-18 14:54:37.822809
so...... not blasphemous missing something?,2026-01-18 14:54:37.822810
"well, forgave judash. girl joke savage",2026-01-18 14:54:37.822812
"character jesus not indecisive, regretful, unsure path. felt story would much better told author known jesus wrote.",2026-01-18 14:54:37.822813
people believe want believe,2026-01-18 14:54:37.822814
first movie left thinking. second enhances story human being weakness . not thoughtprovoking,2026-01-18 14:54:37.822816
unbearably bad compared 1st part sad say,2026-01-18 14:54:37.822817
master piece man waiting next one 2027,2026-01-18 14:54:37.822819
religious always refuse accept fact believe mythos story made people,2026-01-18 14:54:37.822821
not great movie. really enjoyed first one spite ridiculous premise. but poorly made.,2026-01-18 14:54:37.822822
director not making more. tf cast? kid extremely irritating!,2026-01-18 14:54:37.822824
"make lot sense would captured, regardless modern day. one place speaking next next....every country would curious scared government would go get",2026-01-18 14:54:37.822825
"coming shorts,",2026-01-18 14:54:37.822826
made damn sequel???,2026-01-18 14:54:37.822828
"enjoyed one, not good first but still enjoyable",2026-01-18 14:54:37.822829
"devil, lollardyism misguided human blasphemy bad pornographic meet lifetime movie soundtrack dulled threnody pleasant, albeit bloated, minutes. thanks.",2026-01-18 14:54:37.822830
dumb kids...thats birth control needed,2026-01-18 14:54:37.822832
philip edith nut,2026-01-18 14:54:37.822833
compared first one terrible god,2026-01-18 14:54:37.822834
nail fact jesus returned wouldnt know wether laugh cry.,2026-01-18 14:54:37.822836
"dont understand student didnt send professor 2 original photos. one partially obscured full side profile. would easily recognisable, especially someone met real life friend him.",2026-01-18 14:54:37.822837
decent sequel like mainstream cinema storytelling but nothing like masterpiece 1st one was....,2026-01-18 14:54:37.822838
thing going smooth. tara designed destined idiot,2026-01-18 14:54:37.822840
"seen man too, africa. 2 year ago, started talking budha stuff.",2026-01-18 14:54:37.822841
seen first movie genuinely changed way live thinking time not time left little but choose hell point movie man lived 14000 year ago thats it?,2026-01-18 14:54:37.822843
well 3 year gona third film,2026-01-18 14:54:37.822844
mean leave guy alone,2026-01-18 14:54:37.822845
